page,source_file,image_path,project_or_video_id,classification,previous_alt,revised_alt,previous_char_count,revised_char_count,first_200_revised,grounding_sources_used,duplicate_wording_removed,owner_review_flag,notes
https://www.sdhardwoods.com/,build/data/index/gallery.json,,,decorative,,,0,0,,build/data/index/gallery.json,no,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,,,decorative,,,0,0,,build/data/index/gallery.json,no,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,,,decorative,,,0,0,,build/data/index/gallery.json,no,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,,,other,,"Bona Certified Craftsman seal. San Diego Hardwoods holds this factory-trained Bona credential, reflecting hands-on mastery of Bona's professional sanding, true 100% dust-containment, and finishing systems, plus GREENGUARD Gold-certified low-VOC finishes used on hardwood and bamboo floor refinishing throughout San Diego County.",0,328,"Bona Certified Craftsman seal. San Diego Hardwoods holds this factory-trained Bona credential, reflecting hands-on mastery of Bona's professional sanding, true 100% dust-containment, and finishing sys",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,/TRICIA WALNUT102.jpg,,other,"Walnut floor refinishing project at Bing Crosby Ranch in San Diego. This is one of four confirmed photographs from the same walnut hardwood floor refinishing project at Bing Crosby Ranch in San Diego, completed by San Diego Hardwoods. The specific stage and camera angle of this particular photograph have not yet been owner-confirmed, so no before, during, or after claim is made here; the project reflects San Diego Hardwoods' broader hardwood floor refinishing and true 100% dust-containment sanding work throughout San Diego County.","Walnut floor refinishing project at Bing Crosby Ranch in San Diego, one of four documented photographs from this hardwood floor refinishing job completed by San Diego Hardwoods, reflecting the true 100% dust-containment sanding and hardwood floor refinishing work performed throughout San Diego County.",536,302,"Walnut floor refinishing project at Bing Crosby Ranch in San Diego, one of four documented photographs from this hardwood floor refinishing job completed by San Diego Hardwoods, reflecting the true 10",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,/TRICIA WALNUT110.jpg,,other,"Alternate view of walnut flooring during the Bing Crosby Ranch refinishing project. This alternate view is part of the same confirmed walnut hardwood floor refinishing project at Bing Crosby Ranch in San Diego, completed by San Diego Hardwoods. The exact stage and vantage point shown have not yet been owner-confirmed, so no before, during, or after claim is made here; the project is representative of San Diego Hardwoods' hardwood floor refinishing and dustless, true 100% dust-containment sanding services in San Diego County.","Alternate view of walnut hardwood flooring during the Bing Crosby Ranch refinishing project in San Diego, completed by San Diego Hardwoods with true 100% dust-containment sanding and hardwood floor refinishing service throughout San Diego County.",530,246,"Alternate view of walnut hardwood flooring during the Bing Crosby Ranch refinishing project in San Diego, completed by San Diego Hardwoods with true 100% dust-containment sanding and hardwood floor re",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,/TRICIA WALNUT54.jpg,,other,"Walnut flooring from a refinishing project at Bing Crosby Ranch, San Diego. This photograph documents the same confirmed walnut hardwood floor refinishing project at Bing Crosby Ranch in San Diego, completed by San Diego Hardwoods. Because the precise stage and angle of this image have not yet been owner-confirmed, no before, during, or after description is made here; the project reflects San Diego Hardwoods' hardwood floor refinishing and true 100% dust-containment sanding services throughout San Diego County.","Walnut flooring from the Bing Crosby Ranch refinishing project in San Diego, documenting the same hardwood floor job completed by San Diego Hardwoods using true 100% dust-containment sanding and hardwood floor refinishing service throughout San Diego County.",516,258,"Walnut flooring from the Bing Crosby Ranch refinishing project in San Diego, documenting the same hardwood floor job completed by San Diego Hardwoods using true 100% dust-containment sanding and hardw",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,/TRICIA WALNUT23.jpg,,other,"Additional view of the Bing Crosby Ranch walnut floor project. This additional photograph is one of four confirmed images from the same walnut hardwood floor refinishing project at Bing Crosby Ranch in San Diego, completed by San Diego Hardwoods. The specific stage and camera angle have not yet been owner-confirmed, so no before, during, or after claim is made here; the project is representative of San Diego Hardwoods' hardwood and bamboo floor refinishing work with true 100% dust containment throughout San Diego County.","Additional view of the Bing Crosby Ranch walnut floor project in San Diego, part of this hardwood floor refinishing job completed by San Diego Hardwoods with true 100% dust containment throughout San Diego County.",526,213,"Additional view of the Bing Crosby Ranch walnut floor project in San Diego, part of this hardwood floor refinishing job completed by San Diego Hardwoods with true 100% dust containment throughout San ",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,/MARY LOU CHERRY51.jpg,,other,"Restored vintage random-width solid American cherry hardwood flooring in an Encinitas estate kitchen after wax removal, selective sanding, stain matching and Bona Traffic HD satin finishing. Vintage random-width American cherry flooring restored in an expansive Encinitas home, seen here from the kitchen island looking into the dining room. Decades of fading, wax, scratches and wear were corrected through selective sanding, deep cleaning, color matching, clear sealing and two coats of Bona Traffic HD in a commercial satin sheen.","Vintage random-width American cherry flooring restored in an expansive Encinitas home, seen here from the kitchen island looking into the dining room. Decades of fading, wax, scratches and wear were corrected through selective sanding, deep cleaning, color matching, clear sealing and two coats of Bona Traffic HD in a commercial satin sheen.",533,342,"Vintage random-width American cherry flooring restored in an expansive Encinitas home, seen here from the kitchen island looking into the dining room. Decades of fading, wax, scratches and wear were c",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
https://www.sdhardwoods.com/,build/data/index/gallery.json,/MARY LOU CHERRY50.jpg,,other,"Completed American cherry hardwood-floor restoration in an Encinitas dining room with random-width solid planks, matched stain, clear Bona sealer and commercial-satin Traffic HD finish. A second completed view of the Encinitas American cherry restoration, from the coffered-ceiling dining room looking toward the kitchen and stone fireplace. The worn, wax-contaminated floor was selectively sanded, cleaned, matched to the surrounding cherry and protected with a clear Bona sealer and commercial-satin Traffic HD finish.","A second completed view of the Encinitas American cherry restoration, from the coffered-ceiling dining room looking toward the kitchen and stone fireplace. The worn, wax-contaminated floor was selectively sanded, cleaned, matched to the surrounding cherry and protected with a clear Bona sealer and commercial-satin Traffic HD finish.",520,334,"A second completed view of the Encinitas American cherry restoration, from the coffered-ceiling dining room looking toward the kitchen and stone fireplace. The worn, wax-contaminated floor was selecti",build/data/index/gallery.json,yes,no,"Homepage: merged each image's short base sentence with its already-authoritative, reviewer-refined caption (Milestone 2.7), removing the redundant restatement. 4 Bing Crosby Ranch photos (no caption) hand-recomposed to drop internal verification metadata from the alt text."
